model,split,micro_f1,macro_f1,subset_accuracy,hamming_loss,label_cardinality_true,label_cardinality_pred
ovr_logreg,val,0.7822318526543879,0.4217106255268607,0.6389473684210526,0.058771929824561406,1.0821052631578947,1.3468421052631578
ovr_logreg,test,0.7803271489735426,0.38714525968011393,0.6336842105263157,0.05850877192982456,1.0660526315789474,1.3310526315789473
ovr_linearsvm,val,0.7719594594594594,0.42535662989704126,0.6089473684210527,0.06315789473684211,1.0821052631578947,1.4105263157894736
ovr_linearsvm,test,0.7713273956433093,0.4054582658038577,0.6168421052631579,0.062309941520467836,1.0660526315789474,1.3863157894736842
ovr_blend_lr_svm,val,0.7709760273972602,0.43330552052430454,0.6152631578947368,0.06257309941520468,1.0821052631578947,1.3768421052631579
ovr_blend_lr_svm,test,0.7681713848508034,0.39113002985325485,0.6255263157894737,0.062017543859649124,1.0660526315789474,1.341578947368421
dummy_labelset_majority,val,0.8048533872598584,0.1013109329260532,0.8068421052631579,0.04514619883040936,1.0821052631578947,1.0
dummy_labelset_majority,test,0.8093236530378296,0.10118962304715494,0.8110526315789474,0.043771929824561406,1.0660526315789474,1.0
dummy_label_prior,val,0.8048533872598584,0.1013109329260532,0.8068421052631579,0.04514619883040936,1.0821052631578947,1.0
dummy_label_prior,test,0.8093236530378296,0.10118962304715494,0.8110526315789474,0.043771929824561406,1.0660526315789474,1.0
