variant,description,use_negation,use_char_ngrams,use_clause_split,use_lexicon,split,train_seconds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,selective_recall_0,selective_precision_0,selective_f2_0
V0,Baseline word 1-2,0,0,0,0,val,0.04763078689575195,0.9300657100710742,0.96045197740113,0.5926289926289926,0.8492957746478873,0.6981186685962374,0.7815942968243681,0.983383803090302,0.938565288276271,0.96045197740113,,,,
V0,Baseline word 1-2,0,0,0,0,test,0.04763078689575195,0.9339546734611774,0.962700696758558,0.60875,0.8573943661971831,0.7119883040935673,0.7926432291666666,0.9843193433483042,0.9420112642655996,0.962700696758558,0.8504090116668902,0.9073842302878599,0.6986829424991969,0.8562317927722226
V2,Word 1-2 + negation tagging,1,0,0,0,val,0.05678963661193848,0.9329489070671851,0.9621126013487914,0.6042701092353525,0.8570422535211267,0.70879440885265,0.7908760072783988,0.9842635658914729,0.9409367126130131,0.9621126013487914,,,,
V2,Word 1-2 + negation tagging,1,0,0,0,test,0.05678963661193848,0.936066782888561,0.9639351703008869,0.6184310738766184,0.8577464788732394,0.7186900722820475,0.7961304660435322,0.9843949167600139,0.9443085815918186,0.9639351703008869,0.8545326538822583,0.9127738735014469,0.7038571883965572,0.8616249121985483
V5,Word 1-2 + char 3-5,0,1,0,0,val,0.3915271759033203,0.9422019578919136,0.9675207234363226,0.6493576017130621,0.854225352112676,0.7378345498783455,0.8035241123476418,0.9841330676069293,0.951459908107307,0.9675207234363226,,,,
V5,Word 1-2 + char 3-5,0,1,0,0,test,0.3915271759033203,0.9453868848062223,0.9693503170332461,0.6651213526043087,0.8588028169014085,0.7496542185338866,0.8115392293871032,0.984671839761477,0.954498295538758,0.9693503170332461,0.8705913906396674,0.9021431459765467,0.7387417218543046,0.8639250309789344
V6,Word 1-2 + char 3-5 + negation,1,1,0,0,val,0.3954336643218994,0.9415314469625855,0.9671141952028963,0.6448202959830867,0.8591549295774648,0.7367149758454107,0.8055995773903857,0.9846413761326985,0.9502000889284127,0.9671141952028963,,,,
V6,Word 1-2 + char 3-5 + negation,1,1,0,0,test,0.3954336643218994,0.944615797237495,0.9689017732766085,0.6608012994044397,0.8595070422535211,0.7471686562595653,0.8107479739604092,0.9847325323333589,0.953571957907218,0.9689017732766085,0.8733740109963792,0.8991630131526505,0.72750725572396,0.8586435259191596
V7,Word 1-2 + negation + AFINN lexicon (4 features),1,0,0,1,val,0.14065885543823242,0.9388494032452729,0.965514633592982,0.6294597349643222,0.8697183098591549,0.7303370786516854,0.8080345459303847,0.9857164916615194,0.9461242033496369,0.965514633592982,,,,
V7,Word 1-2 + negation + AFINN lexicon (4 features),1,0,0,1,test,0.14065885543823242,0.9402239506503957,0.9663184540113721,0.6362464552719773,0.8690140845070422,0.7346331299300491,0.8097644202375484,0.9856641874446028,0.9477175040758856,0.9663184540113721,0.8649926243797774,0.914320193081255,0.7141061891297518,0.8657728346156776
