label,class_weight,precision_1,recall_1,f1_1,f2_1,selected,note
delivery_shipping,none,0.0,0.0,0.0,0.0,0,
delivery_shipping,balanced,0.5,0.7,0.5833333333333334,0.6481481481481481,1,
delivery_shipping,w2,0.0,0.0,0.0,0.0,0,
delivery_shipping,w5,0.0,0.0,0.0,0.0,0,
delivery_shipping,w10,0.0,0.0,0.0,0.0,0,
redemption_activation,none,0.0,0.0,0.0,0.0,1,
redemption_activation,balanced,0.0,0.0,0.0,0.0,0,
redemption_activation,w2,0.0,0.0,0.0,0.0,0,
redemption_activation,w5,0.0,0.0,0.0,0.0,0,
redemption_activation,w10,0.0,0.0,0.0,0.0,0,
product_quality,none,0.0,0.0,0.0,0.0,0,
product_quality,balanced,0.2222222222222222,0.25,0.23529411764705882,0.24390243902439024,1,
product_quality,w2,0.0,0.0,0.0,0.0,0,
product_quality,w5,0.0,0.0,0.0,0.0,0,
product_quality,w10,0.0,0.0,0.0,0.0,0,
customer_service,balanced,,,,,1,insufficient_label_support
refund_return,none,0.0,0.0,0.0,0.0,1,
refund_return,balanced,0.0,0.0,0.0,0.0,0,
refund_return,w2,0.0,0.0,0.0,0.0,0,
refund_return,w5,0.0,0.0,0.0,0.0,0,
refund_return,w10,0.0,0.0,0.0,0.0,0,
usability,none,0.0,0.0,0.0,0.0,0,
usability,balanced,0.4444444444444444,0.8,0.5714285714285714,0.6896551724137931,1,
usability,w2,0.0,0.0,0.0,0.0,0,
usability,w5,0.0,0.0,0.0,0.0,0,
usability,w10,0.0,0.0,0.0,0.0,0,
value_price,none,0.0,0.0,0.0,0.0,0,
value_price,balanced,0.16666666666666666,0.25,0.2,0.22727272727272727,1,
value_price,w2,0.0,0.0,0.0,0.0,0,
value_price,w5,0.0,0.0,0.0,0.0,0,
value_price,w10,0.0,0.0,0.0,0.0,0,
fraud_scam,none,0.0,0.0,0.0,0.0,1,
fraud_scam,balanced,0.0,0.0,0.0,0.0,0,
fraud_scam,w2,0.0,0.0,0.0,0.0,0,
fraud_scam,w5,0.0,0.0,0.0,0.0,0,
fraud_scam,w10,0.0,0.0,0.0,0.0,0,
other,none,0.8235294117647058,0.98989898989899,0.8990825688073395,0.9514563106796117,1,
other,balanced,0.896551724137931,0.7878787878787878,0.8387096774193549,0.8074534161490683,0,
other,w2,0.8421052631578947,0.9696969696969697,0.9014084507042254,0.9411764705882353,0,
other,w5,0.8863636363636364,0.7878787878787878,0.8342245989304813,0.8057851239669421,0,
other,w10,0.9466666666666667,0.7171717171717171,0.8160919540229885,0.7537154989384289,0,
